LATd,LONd,ALTm,Hdop,HhMmSs,iHhMmSs,H1mS_m,H1ppt,P1mS_m,P1ppt,V,C,Pdeg,Rdeg,Xgal,Ygal,Zgal,XmuT,YmuT,ZmuT,ihHhMmSs,HhmS_m,Hhppt,PhmS_m,Phppt
-32.5041679,116.9701739,278.1282959,3,210920.285,134756,35.2,0.49,20.9,1.93,12.84,27.6,1.4,7.7,-24,137,1019,12.4,-10.2,43,134756,23,-0.06,-0.4,0.02
-32.5041679,116.9701739,278.1306152,3,210921.299,134757,35.3,0.49,21,1.93,12.85,27.6,1.4,7.7,-24,137,1019,12.4,-10.3,43,134757,23.2,-0.07,-0.4,0.02
-32.5041679,116.9701738,278.1323242,3,210922.276,134758,35.3,0.5,20.8,1.94,12.85,27.6,1.4,7.7,-24,137,1019,12.3,-10.1,43,134758,23.4,-0.06,-0.4,0.02
-32.5041679,116.9701738,278.1352539,3,210923.28,134759,35,0.49,20.8,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10,42.9,134759,23.2,-0.07,-0.4,0.02
-32.5041679,116.9701738,278.1330566,3,210924.292,134800,34.8,0.49,21,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10.4,42.9,134800,23,-0.06,-0.4,0.02
-32.5041678,116.9701739,277.9777222,3,210925.274,134801,35.1,0.48,20.9,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10.3,43,134801,23.3,-0.06,-0.4,0.02
-32.5041672,116.9701744,277.4216309,3,210926.27,134802,35.1,0.5,20.6,1.95,12.85,27.7,1.4,7.7,-24,137,1020,12.4,-10,43,134802,23.3,-0.06,-0.4,0.02
-32.5041664,116.970176,277.3851929,3.260999918,210927.293,134803,35.5,0.49,21,1.95,12.85,27.7,1.3,7.7,-24,137,1019,12.3,-10,43,134803,23.2,-0.06,-0.4,0.02
-32.5041654,116.9701769,277.5795288,3.111999989,210928.273,134804,35,0.49,21,1.95,12.85,27.8,1.4,7.7,-24,137,1019,12.4,-10.2,43,134804,22.9,-0.06,-0.4,0.02
-32.5041642,116.9701771,276.8782349,3.016000032,210929.261,134805,35.1,0.49,21.2,1.95,12.85,27.8,1.4,7.7,-24,137,1020,12.4,-10,43,134805,23.1,-0.06,-0.4,0.02
-32.5041085,116.9701581,279.0960693,3,212243.354,134806,35.3,0.49,21,1.95,12.85,27.8,1.4,7.7,-24,137,1020,12.3,-10.3,43,134806,23.3,-0.06,-0.4,0.02
-32.5041084,116.970158,279.1665039,3,212244.299,140119,8.1,0.25,1.7,2.77,12.92,34.8,0.7,-13.1,-12,-235,1017,13.5,-23.5,37.9,140119,7.9,-0.14,-1.2,0.09
-32.5041083,116.9701581,279.0931396,3,212245.291,140120,8.1,0.24,1.8,2.76,12.9,34.8,0.3,-12.4,-5,-224,1021,14.4,-22.2,38.4,140120,7.7,-0.14,-1.2,0.09
-32.5041084,116.9701582,279.0526733,3,212246.318,140121,8.1,0.26,2.1,2.77,12.9,34.8,-0.1,-12.7,2,-229,1020,14.5,-22.5,38.2,140121,7.7,-0.14,-1.2,0.09
-32.5041083,116.9701583,279.1293335,3,212247.281,140122,8.1,0.25,1.7,2.79,12.9,34.8,-0.2,-14.4,4,-258,1013,14.6,-23.8,37.4,140122,7.6,-0.14,-1.2,0.09
-32.5041083,116.9701585,279.1228027,3,212248.31,140123,7.6,0.26,1.7,2.81,12.9,34.8,0,-20,0,-355,983,14.5,-27.2,35.2,140123,7.6,-0.14,-1.2,0.09
-32.5041082,116.9701586,279.1005249,3,212249.319,140124,7.3,0.26,1.6,2.85,12.9,34.8,-0.7,-22.2,12,-392,970,14.4,-28.9,34,140124,7.4,-0.14,-1.2,0.09
-32.5041082,116.9701586,279.0862427,3,212250.298,140125,7.2,0.25,1.5,2.87,12.9,34.8,-0.5,-25.1,8,-441,951,14.3,-30.2,32.7,140125,7.3,-0.14,-1.2,0.1
-32.5041082,116.9701587,279.0894775,3,212251.303,140126,7.1,0.25,1.6,2.89,12.9,34.8,0.3,-25.4,-4,-445,945,13.8,-30.8,32.5,140126,7.2,-0.14,-1.2,0.1
-32.5041082,116.9701587,279.0906982,3,212252.318,140127,7.1,0.26,1.7,2.9,12.9,34.8,0,-29.3,0,-508,913,14.1,-32.6,30.4,140127,7.4,-0.14,-1.2,0.1
-32.5041082,116.9701588,279.1063232,3,212253.329,140128,6.7,0.25,1.4,2.95,12.9,34.8,-0.5,-35.2,8,-598,855,14.4,-35.2,27.1,140128,7,-0.14,-1.2,0.11
-32.5041081,116.9701588,279.1127319,3,212254.296,140129,6.2,0.26,1.3,2.98,12.9,34.8,0.4,-38.9,-6,-653,813,14,-37.1,24.7,140129,7,-0.14,-1.2,0.12
-32.5041081,116.9701589,279.1123657,3,212255.319,140130,6.2,0.26,1.4,3.02,12.89,34.8,-0.2,-41.7,4,-693,778,14.2,-38.3,22.9,140130,6.9,-0.14,-1.2,0.12
-32.5041081,116.970159,279.1037598,3,212256.287,140131,6.2,0.26,1.4,3.04,12.9,34.8,0,-44.1,0,-728,745,14.1,-39.3,20.7,140131,6.8,-0.14,-1.2,0.13
-32.5041069,116.9701593,279.9534302,3,212257.296,140132,5.6,0.26,1.4,3.09,12.89,34.8,0.6,-48.8,-10,-783,684,13.6,-40.7,18,140132,6.7,-0.14,-1.2,0.14
-32.5041056,116.9701604,280.7488403,3,212258.323,140133,5.6,0.26,1.1,3.14,12.9,34.8,1.1,-51.4,-20,-812,643,13.3,-41.8,15.6,140133,6.5,-0.14,-1.2,0.15
-32.5041043,116.9701628,280.8551636,3,212259.308,140134,4.6,0.26,1.1,3.21,12.9,34.8,0.5,-58.8,-8,-886,530,13.8,-43.1,10.5,140134,6.4,-0.14,-1.2,0.16
-32.5041037,116.970165,281.0350952,3,212300.298,140135,4.4,0.25,0.9,3.32,12.9,34.8,1.1,-66.1,-19,-941,415,14,-43.9,5.2,140135,6.3,-0.14,-1.2,0.18
-32.5041037,116.9701669,280.9423828,3,212301.318,140136,4.3,0.25,0.8,3.34,12.89,34.8,1,-66.7,-17,-946,404,13.7,-43.9,4.2,140136,6.1,-0.14,-1.2,0.18
-32.5041041,116.9701683,280.9630737,3,212302.303,140137,4.4,0.26,0.8,3.39,12.89,34.8,1.8,-70.2,-31,-964,346,13,-44.4,1.6,140137,6.2,-0.14,-1.2,0.19
-32.5041047,116.9701688,281.7270508,3,212303.302,140138,4.1,0.25,0.5,3.47,12.89,34.8,1.4,-75.8,-24,-990,250,13.5,-44.3,-2.8,140138,6.1,-0.14,-1.3,0.2
-32.5041051,116.9701692,281.9888916,3,212304.307,140139,4.2,0.25,0.4,3.59,12.9,34.8,1.4,-82.4,-25,-1008,134,13.5,-43.8,-7.7,140139,6.1,-0.14,-1.2,0.22
-32.5041059,116.9701692,281.7045898,3,212305.279,140140,4.3,0.25,0.3,3.66,12.89,34.8,2,-85.4,-35,-1009,81,13.2,-43.3,-10.3,140140,5.8,-0.14,-1.2,0.23
-32.5041069,116.9701692,281.9182129,3,212306.291,140141,4,0.25,0.2,3.68,12.89,34.8,1.8,-87.8,-31,-1011,38,13.6,-42.8,-11.9,140141,6.1,-0.13,-1.3,0.24
-32.504108,116.9701693,282.1147461,3,212307.28,140142,3.9,0.25,0.2,3.76,12.89,34.8,1.9,-92.2,-32,-1007,-38,13.3,-41.8,-15.4,140142,5.8,-0.13,-1.2,0.25
-32.504109,116.9701695,282.0239868,3,212308.316,140143,4,0.26,0.1,3.81,12.9,34.8,2.1,-94.8,-36,-1002,-84,13.3,-41.3,-17.5,140143,6,-0.13,-1.2,0.26
-32.5041099,116.9701696,282.0784302,3,212309.291,140144,4.3,0.25,0,3.85,12.89,34.8,2.3,-98.1,-39,-993,-141,13.2,-40.2,-19.8,140144,6.3,-0.13,-1.2,0.26
-32.5041107,116.9701698,282.144043,3,212310.319,140145,4.5,0.26,-0.1,3.9,12.9,34.8,2.2,-100.2,-38,-986,-177,13.1,-39.6,-21.4,140145,6.1,-0.13,-1.3,0.27
-32.5041113,116.9701699,282.1864014,3,212311.307,140146,4.5,0.25,0,3.91,12.89,34.8,2.2,-101.2,-39,-981,-193,13.2,-39,-22.1,140146,6.2,-0.13,-1.3,0.27
-32.5041118,116.9701701,282.1723633,3,212312.323,140147,5,0.25,0,3.94,12.89,34.8,1.9,-103.1,-33,-972,-225,13.6,-38.4,-23.2,140147,6.2,-0.14,-1.3,0.28
-32.5041121,116.9701702,282.1744385,3,212313.286,140148,4.5,0.25,-0.1,3.96,12.89,34.8,2.3,-104,-39,-967,-240,13.4,-38.2,-23.8,140148,6.2,-0.14,-1.3,0.28
-32.5041124,116.9701703,282.1743164,3,212314.317,140149,4.7,0.26,-0.2,3.99,12.89,34.8,2.4,-106.6,-41,-955,-283,13.4,-37.2,-25.3,140149,6.2,-0.13,-1.3,0.29
-32.5041126,116.9701704,282.168335,3,212315.319,140150,4.9,0.26,-0.4,4.03,12.89,34.8,2.1,-109.9,-36,-934,-335,13.6,-35.7,-27.5,140150,6.4,-0.13,-1.3,0.29
-32.5041127,116.9701705,282.161499,3,212316.299,140151,5.5,0.26,-0.4,4.09,12.89,34.8,2.3,-113.6,-40,-907,-394,13.6,-34,-29.5,140151,6.5,-0.13,-1.3,0.3
-32.5041128,116.9701706,282.1616211,3,212317.303,140152,5.2,0.26,-0.4,4.13,12.89,34.8,2.3,-116.6,-40,-884,-439,13.7,-32.5,-31.1,140152,6.4,-0.13,-1.3,0.31
-32.5041129,116.9701706,282.1689453,3,212318.331,140153,5.5,0.26,-0.5,4.16,12.89,34.8,1.9,-117.5,-32,-877,-452,13.9,-32.1,-31.6,140153,6.7,-0.13,-1.3,0.31
-32.5041129,116.9701706,282.1755981,3,212319.303,140154,5.3,0.26,-0.4,4.16,12.89,34.8,2.1,-116.6,-35,-884,-439,13.9,-32.7,-31.2,140154,6.6,-0.13,-1.3,0.31
-32.504113,116.9701706,282.1778564,3,212320.3,140155,5.4,0.26,-0.5,4.17,12.89,34.8,1.9,-118.1,-32,-871,-461,14.2,-31.8,-31.8,140155,6.5,-0.12,-1.3,0.31
-32.504113,116.9701707,282.1708984,3,212321.347,140156,5.5,0.27,-0.7,4.16,12.89,34.8,1.4,-118.1,-24,-871,-461,14.5,-32,-31.6,140156,6.6,-0.12,-1.3,0.31
-32.5041131,116.9701707,282.1737061,3,212322.291,140157,5.7,0.26,-0.8,4.16,12.89,34.8,1.5,-119.4,-25,-859,-479,14.4,-31.2,-32.5,140157,6.4,-0.12,-1.3,0.31
-32.5041131,116.9701707,282.1810303,3,212323.295,140158,5.6,0.26,-0.5,4.21,12.89,34.8,1.4,-121,-24,-844,-503,14.5,-29.9,-33.4,140158,6.7,-0.12,-1.3,0.32
-32.5041131,116.9701708,282.1748047,3,212324.294,140159,5.8,0.27,-0.8,4.26,12.89,34.8,1,-124.5,-17,-810,-551,14.9,-28.2,-34.8,140159,6.9,-0.12,-1.3,0.32
-32.5041132,116.9701708,282.175293,3,212325.293,140200,6,0.27,-0.8,4.28,12.89,34.8,0.9,-126.3,-14,-791,-576,15,-27.2,-35.7,140200,7.1,-0.12,-1.3,0.33
-32.5041132,116.9701708,282.1646729,3,212326.293,140201,6.4,0.26,-0.8,4.3,12.89,34.8,1.4,-130,-23,-750,-626,14.7,-25.2,-37.3,140201,6.8,-0.12,-1.3,0.33
-32.5041132,116.9701707,282.1622314,3,212327.325,140202,6.2,0.27,-0.8,4.29,12.89,34.8,1.3,-129.2,-21,-758,-615,14.5,-25,-37.5,140202,6.9,-0.12,-1.3,0.33
-32.5041132,116.9701707,282.1484375,3,212328.293,140203,6.4,0.27,-0.7,4.3,12.89,34.8,1.3,-130.1,-22,-747,-627,14.4,-24.5,-37.9,140203,6.9,-0.12,-1.3,0.33
-32.5041133,116.9701707,282.1464844,3,212329.296,140204,6.5,0.28,-1.2,4.32,12.89,34.8,1,-132.4,-16,-720,-658,14.7,-23.3,-38.5,140204,6.9,-0.11,-1.3,0.34
-32.5041133,116.9701707,282.137207,3,212330.331,140205,6.8,0.27,-1.2,4.33,12.89,34.8,1.3,-132.4,-22,-719,-657,14.8,-23.3,-38.5,140205,6.9,-0.11,-1.3,0.34
-32.5041134,116.9701707,282.1303101,3,212331.297,140206,6.4,0.27,-0.8,4.34,12.89,34.8,1.2,-134.1,-21,-697,-680,15,-22.7,-38.8,140206,7,-0.11,-1.3,0.34
-32.5041134,116.9701707,282.128418,3,212332.29,140207,6.7,0.28,-1.1,4.35,12.89,34.8,1,-135.7,-17,-681,-694,15,-21.5,-39.5,140207,7,-0.11,-1.3,0.34
-32.5041134,116.9701708,282.1345825,3.344000101,212333.326,140208,6.7,0.28,-1.2,4.38,12.89,34.8,1.1,-137.5,-19,-657,-715,15,-20,-40.1,140208,7.2,-0.11,-1.3,0.35
-32.5041135,116.9701708,282.1287842,3.305999994,212334.292,140209,6.8,0.28,-1.2,4.39,12.89,34.8,1.4,-137.2,-23,-660,-713,14.6,-20.5,-40,140209,7.1,-0.11,-1.3,0.35
-32.5041135,116.9701708,282.1226196,3.140000105,212335.287,140210,7.2,0.28,-1.3,4.44,12.89,34.8,1.8,-140.1,-30,-619,-745,14.5,-18.7,-41,140210,7.2,-0.11,-1.3,0.35
-32.5041135,116.9701708,282.1237793,3.03399992,212336.31,140211,7.1,0.28,-1,4.45,12.89,34.8,1.8,-144.4,-30,-559,-789,14.7,-15.9,-42,140211,7.5,-0.11,-1.3,0.36
-32.5041135,116.9701707,282.1195679,3,212337.305,140212,7.4,0.28,-1.2,4.46,12.89,34.8,1.5,-146.9,-26,-522,-811,14.8,-14.4,-42.5,140212,7.4,-0.11,-1.3,0.36
-32.5041135,116.9701707,282.1131592,3,212338.298,140213,7.4,0.28,-1.6,4.49,12.89,34.8,1.2,-148.8,-20,-496,-827,14.9,-12.6,-42.9,140213,7.6,-0.11,-1.3,0.36
-32.5041135,116.9701707,282.1092529,3,212339.322,140214,7.6,0.28,-1,4.46,12.89,34.8,1.3,-146.3,-22,-531,-806,14.8,-14.4,-42.5,140214,7.4,-0.11,-1.3,0.36
-32.5041135,116.9701707,282.1083374,3,212340.297,140215,7.5,0.28,-1.2,4.45,12.89,34.8,2.1,-146.9,-34,-522,-809,14.4,-14,-42.7,140215,7.3,-0.1,-1.3,0.36
-32.5041136,116.9701707,282.1008301,3,212341.291,140216,7.8,0.29,-1.1,4.47,12.89,34.8,2.3,-150.2,-38,-475,-838,14.4,-12.6,-43.1,140216,7.2,-0.1,-1.3,0.36
-32.5041136,116.9701707,282.0976563,3,212342.33,140217,8.2,0.28,-1.2,4.47,12.89,34.8,2.6,-152.7,-43,-439,-856,14.2,-10.6,-43.6,140217,7.4,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0908813,3,212343.281,140218,7.8,0.29,-1.5,4.47,12.89,34.8,2.2,-153.2,-36,-429,-859,14.4,-9.9,-43.6,140218,7.5,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0893555,3,212344.285,140219,7.9,0.29,-1.3,4.48,12.89,34.8,1.5,-154.3,-24,-415,-868,14.8,-9.2,-43.6,140219,7.5,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0778809,3,212345.308,140220,8.2,0.28,-1.4,4.45,12.89,34.8,1.5,-154.1,-26,-416,-866,14.7,-9.1,-43.6,140220,7.6,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0775146,3,212346.314,140221,8.4,0.29,-1.2,4.47,12.89,34.8,1.7,-155.1,-29,-401,-872,14.6,-8.3,-43.8,140221,7.2,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0738525,3,212347.31,140222,7.9,0.29,-1.3,4.47,12.89,34.8,1.9,-155.8,-31,-390,-877,14.5,-7.9,-43.9,140222,7.3,-0.1,-1.3,0.37
-32.5041136,116.9701707,282.0777588,3,212348.307,140223,8.3,0.29,-1.5,4.45,12.89,34.8,1.7,-155.7,-29,-393,-877,14.4,-7.7,-43.9,140223,7.4,-0.1,-1.3,0.37
-32.5041136,116.9701708,282.0727539,3.148000002,212349.333,140224,7.8,0.29,-1.5,4.45,12.89,34.8,1.7,-157,-28,-372,-884,14.3,-7.1,-44,140224,7.6,-0.1,-1.3,0.37
-32.5041136,116.9701708,282.0697021,3.280999899,212350.306,140225,8.3,0.29,-1.2,4.48,12.89,34.7,2.1,-157.4,-34,-367,-888,14.1,-6.7,-44.1,140225,7.5,-0.1,-1.3,0.37
-32.5041136,116.9701708,282.062439,3.388000011,212351.308,140226,7.8,0.29,-1.3,4.47,12.89,34.7,2.2,-156.9,-37,-375,-884,14.1,-7.2,-44,140226,7.4,-0.1,-1.3,0.37
-32.5041136,116.9701708,282.0597534,3.190999985,212352.342,140227,8.2,0.29,-1.3,4.45,12.89,34.7,2.4,-159.1,-40,-340,-897,14.2,-5.7,-44.1,140227,7.5,-0.09,-1.3,0.37
-32.5041136,116.9701708,282.0621338,3.315000057,212353.281,140228,8.5,0.29,-1.3,4.44,12.89,34.7,1.8,-160.1,-30,-324,-901,14.4,-5.2,-44.1,140228,7.6,-0.09,-1.3,0.37
-32.5041136,116.9701709,282.0577393,3.415999889,212354.305,140229,8.3,0.3,-1.3,4.46,12.89,34.7,2,-163,-33,-279,-916,14.4,-3.5,-44.1,140229,7.6,-0.09,-1.3,0.37
-32.5041136,116.9701709,282.0546875,3.207000017,212355.318,140230,8.1,0.3,-1.3,4.47,12.89,34.7,2.2,-163.5,-36,-270,-918,14.3,-2.7,-44.1,140230,7.5,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.0501709,3.078000069,212356.301,140231,8.2,0.29,-1.4,4.47,12.89,34.7,1.8,-165.2,-29,-244,-927,14.5,-1.8,-44,140231,7.6,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.050415,3,212357.301,140232,8.3,0.29,-1.5,4.44,12.89,34.7,1.8,-166.4,-29,-224,-930,14.7,-0.9,-43.9,140232,7.7,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.0414429,3,212358.323,140233,8.3,0.3,-1.4,4.46,12.89,34.7,2,-167,-33,-214,-934,14.5,-0.7,-43.9,140233,7.7,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.0321045,3,212359.306,140234,8.2,0.29,-1.2,4.47,12.89,34.7,2.3,-165.8,-37,-234,-928,14.2,-1.2,-44.1,140234,7.4,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.0233154,3,212400.302,140235,8,0.3,-1.3,4.44,12.89,34.7,2.3,-165.4,-38,-240,-925,14,-1.4,-44.1,140235,7.7,-0.09,-1.3,0.37
-32.5041137,116.9701709,282.0219727,3,212401.321,140236,8.6,0.3,-1.4,4.45,12.89,34.7,2.6,-167.8,-42,-201,-935,13.8,0.3,-44,140236,7.6,-0.09,-1.3,0.37
-32.5041138,116.9701709,282.0213623,3,212402.291,140237,8.8,0.3,-1.2,4.43,12.89,34.7,2.8,-170.4,-47,-158,-942,13.7,1.9,-43.8,140237,7.5,-0.09,-1.3,0.37
-32.5041138,116.9701709,282.0202637,3,212403.333,140238,8.8,0.3,-1.5,4.43,12.89,34.7,2.7,-173.2,-45,-112,-948,13.9,3.5,-43.5,140238,7.6,-0.09,-1.3,0.37
-32.5041138,116.9701709,282.0130615,3,212404.29,140239,8.5,0.29,-1.4,4.45,12.89,34.7,2.5,-174.1,-41,-98,-951,14.1,4,-43.3,140239,7.4,-0.09,-1.3,0.37
-32.5041138,116.9701709,282.012207,3,212405.297,140240,8.6,0.3,-1.4,4.43,12.89,34.7,2.7,-175.7,-45,-70,-952,13.8,5.4,-43.1,140240,7.4,-0.09,-1.3,0.37
-32.5041139,116.9701709,282.0076294,3,212406.304,140241,8.7,0.3,-1.4,4.43,12.89,34.7,3.5,-176.5,-57,-59,-951,13.4,5.8,-43,140241,7.4,-0.09,-1.3,0.37
-32.5041139,116.9701709,282.0080566,3,212407.325,140242,8.4,0.3,-1.4,4.42,12.89,34.7,3.1,179.5,-52,8,-954,13.6,8.3,-42.2,140242,7.6,-0.09,-1.3,0.37
-32.5041139,116.9701709,282.0045166,3,212408.295,140243,8.5,0.3,-1.5,4.42,12.89,34.7,3.4,178.8,-56,19,-953,13.5,9,-42,140243,7.3,-0.09,-1.3,0.37
-32.5041139,116.9701709,282.0008545,3,212409.294,140244,7.9,0.3,-1.2,4.41,12.89,34.7,3.9,178.8,-65,19,-953,12.7,9.2,-42.2,140244,7.4,-0.08,-1.3,0.37
-32.5041139,116.9701709,281.9952393,3,212410.32,140245,8.5,0.3,-1.2,4.41,12.89,34.7,3.7,177.8,-60,36,-952,13.1,9.8,-41.8,140245,7.3,-0.08,-1.3,0.37
-32.5041138,116.9701709,282.0018311,3,212411.3,140246,8.4,0.31,-1.1,4.38,12.89,34.7,2.9,176.1,-48,65,-950,13.5,10.9,-41.3,140246,7.4,-0.08,-1.3,0.37
-32.5041138,116.9701709,281.9987793,3,212412.311,140247,8.5,0.3,-1.4,4.39,12.89,34.7,3,173.9,-50,101,-948,13.6,11.9,-40.8,140247,7.5,-0.08,-1.3,0.37
-32.5041138,116.9701709,281.9891968,3,212413.298,140248,8.3,0.31,-1.3,4.39,12.89,34.7,3.6,169.4,-60,175,-935,13.7,14.2,-39.4,140248,7.3,-0.08,-1.3,0.37
-32.5041138,116.9701709,281.9904175,3.272000074,212414.323,140249,8,0.3,-1.3,4.38,12.89,34.7,3,166.9,-49,215,-929,14.3,15.4,-38.7,140249,7.6,-0.08,-1.3,0.37
-32.5041138,116.9701709,281.9864502,3.220000029,212415.312,140250,8.2,0.3,-1.3,4.35,12.89,34.7,2.1,166.2,-34,226,-923,15,15.9,-38.1,140250,7.2,-0.08,-1.3,0.36
-32.5041138,116.9701709,281.9866333,3.085999966,212416.288,140251,7.9,0.3,-1.4,4.35,12.89,34.7,1.2,161.6,-20,299,-905,15.7,18.3,-36.1,140251,7.3,-0.08,-1.3,0.36
-32.5041138,116.9701709,281.9904785,3,212417.32,140252,7.8,0.3,-1.3,4.31,12.89,34.7,1.7,159.4,-28,334,-895,14.8,19.6,-35.4,140252,7,-0.08,-1.3,0.36
-32.5041138,116.9701709,281.9831543,3,212418.332,140253,7.4,0.31,-1.4,4.31,12.89,34.7,2.9,158.3,-47,349,-884,14.3,20.4,-35,140253,7.2,-0.08,-1.3,0.36
-32.5041138,116.9701709,281.9909668,3,212419.304,140254,7.2,0.3,-1.1,4.3,12.89,34.7,3.4,155.7,-55,388,-870,13.8,21.8,-33.9,140254,6.8,-0.08,-1.3,0.36
-32.5041138,116.9701709,281.9970703,3,212420.302,140255,7.4,0.31,-1.2,4.26,12.89,34.7,3.1,153.5,-51,422,-856,13.9,22.7,-32.8,140255,6.9,-0.08,-1.3,0.35
-32.5041138,116.9701709,281.9998169,3,212421.329,140256,7.4,0.31,-1.3,4.25,12.89,34.6,2.9,152.8,-48,432,-849,14.3,23.1,-32.5,140256,6.9,-0.08,-1.3,0.35
-32.5041138,116.9701709,282.0055542,3,212422.293,140257,7.3,0.3,-1.1,4.25,12.89,34.6,2.6,151.2,-43,457,-839,14.3,24,-31.6,140257,7,-0.08,-1.3,0.35
-32.5041138,116.9701709,282.005127,3,212423.294,140258,7.4,0.31,-1.3,4.22,12.89,34.6,2.6,151.3,-42,454,-838,14.3,23.8,-31.6,140258,6.8,-0.08,-1.3,0.35
-32.5041138,116.9701709,282.0009766,3,212424.321,140259,7.2,0.31,-1.2,4.21,12.89,34.6,2.3,146.7,-39,521,-801,14.4,25.7,-29.2,140259,6.6,-0.08,-1.3,0.34
-32.5041139,116.9701709,281.9939575,3,212425.292,140300,6.9,0.31,-0.9,4.18,12.89,34.6,2.5,143.2,-41,569,-768,14.2,27.2,-27.1,140300,6.7,-0.08,-1.3,0.34
-32.5041139,116.970171,281.9932861,3,212426.288,140301,6.9,0.3,-0.8,4.14,12.89,34.6,3.3,142.1,-54,585,-759,13.6,27.9,-26.5,140301,6.6,-0.08,-1.3,0.33
-32.5041139,116.970171,281.9945068,3,212427.327,140302,6.4,0.3,-1,4.14,12.89,34.6,3.3,142.9,-54,573,-766,13.6,27.6,-27.1,140302,6.6,-0.08,-1.3,0.34
-32.5041139,116.970171,281.9963379,3,212428.284,140303,6.5,0.3,-0.9,4.12,12.89,34.6,3,140.6,-50,605,-743,13.9,28.5,-25.7,140303,6.4,-0.09,-1.3,0.33
-32.5041139,116.970171,281.9985352,3,212429.281,140304,6.8,0.3,-1.1,4.11,12.89,34.6,3,138.8,-50,630,-723,13.7,29.3,-24.4,140304,6.5,-0.09,-1.3,0.33
-32.5041139,116.970171,281.9880371,3,212430.339,140305,6.4,0.31,-1,4.09,12.89,34.6,2.8,136.5,-47,662,-696,13.7,30.1,-22.9,140305,6.4,-0.09,-1.3,0.32
-32.5041139,116.970171,281.9799805,3,212431.281,140306,6.3,0.31,-1,4.04,12.89,34.6,2.9,135.8,-47,671,-686,13.6,30.4,-22.2,140306,6.3,-0.09,-1.3,0.32
-32.5041139,116.970171,281.9834595,3,212432.291,140307,6.4,0.31,-0.8,4.04,12.89,34.6,2.8,134.6,-47,682,-678,13.8,30.7,-21.8,140307,6.3,-0.09,-1.3,0.32
-32.5041139,116.970171,281.9820557,3,212433.305,140308,6,0.31,-1,4.02,12.89,34.6,3,134.1,-49,688,-671,13.6,30.9,-21.5,140308,6.3,-0.09,-1.3,0.32
-32.5041142,116.9701705,282.2937012,3,212434.332,140309,5.8,0.3,-0.9,3.99,12.89,34.6,2.6,129.5,-44,744,-609,13.8,32.2,-18.1,140309,6.1,-0.09,-1.3,0.31
-32.5041146,116.9701703,282.5856934,3,212435.302,140310,5.6,0.31,-0.6,3.93,12.89,34.6,0.9,125.2,-15,791,-552,15,32.9,-15.3,140310,5.9,-0.09,-1.3,0.3
-32.5041141,116.97017,281.1707153,3,212436.297,140311,5.3,0.3,-0.5,3.88,12.89,34.6,2.3,122.4,-38,818,-514,14.5,33.4,-13.7,140311,5.8,-0.09,-1.3,0.3
-32.5041136,116.9701697,281.3456421,3,212437.34,140312,5.3,0.3,-0.5,3.84,12.89,34.6,2.1,119.1,-36,848,-466,14.5,34.1,-10.9,140312,5.8,-0.08,-1.3,0.29
-32.5041129,116.9701694,281.5540161,3,212438.298,140313,4.9,0.31,-0.4,3.71,12.89,34.6,1.1,108.8,-18,922,-312,15.3,34.7,-4.6,140313,5.6,-0.08,-1.3,0.27
-32.5041112,116.9701685,281.5578613,3,212439.301,140314,4,0.31,-0.2,3.6,12.89,34.6,0.1,101.6,-1,959,-196,16.1,34.6,0.9,140314,5.5,-0.08,-1.3,0.25
-32.5041094,116.970167,281.2612305,3,212440.314,140315,4.1,0.31,0,3.55,12.89,34.6,0.2,100.8,-4,960,-182,15.9,34.6,1.5,140315,5.2,-0.08,-1.3,0.24
-32.5041082,116.9701654,281.2896729,3,212441.33,140316,3.9,0.31,0,3.48,12.89,34.6,-0.2,95.6,3,977,-95,15.7,34.1,5.9,140316,5.2,-0.08,-1.3,0.23
-32.5041076,116.9701645,280.8540039,3,212442.299,140317,3.8,0.31,0,3.44,12.89,34.5,0.1,92.9,-1,983,-50,15.7,34,7.3,140317,5.3,-0.08,-1.2,0.22
-32.5041079,116.970164,280.9568481,3,212443.296,140318,4.4,0.31,0.2,3.36,12.89,34.5,-0.7,87.8,11,986,38,16.3,32.5,11.2,140318,5.5,-0.07,-1.3,0.21
-32.5041084,116.9701636,281.4918213,3,212444.321,140319,4.2,0.32,0.4,3.31,12.89,34.5,0.1,86,0,986,68,15.2,32.7,12.7,140319,5.1,-0.07,-1.3,0.2
-32.5041094,116.9701635,281.7299805,3,212445.296,140320,4.2,0.31,0.2,3.25,12.89,34.5,0.2,80.6,-3,977,161,15.1,31.4,16.5,140320,5.5,-0.07,-1.2,0.19
