Latitute,Lognigtute,TimeStamp
-31.977426123666667,115.81717328233333,04:46:22
-31.977427718333335,115.81717406533333,04:46:23
-31.977429316166667,115.81717413833333,04:46:24
-31.9774310175,115.81717349083333,04:46:25
-31.9774337815,115.81717091016667,04:46:26
-31.977436027333333,115.817167091,04:46:27
-31.977437896666668,115.8171645115,04:46:28
-31.977439648833332,115.81716300966667,04:46:29
-31.9774410255,115.8171617,04:46:30
-31.9774421465,115.81716061383334,04:46:31
-31.977442730333333,115.81715958383333,04:46:32
-31.977443096666665,115.81715893083333,04:46:33
-31.977443331666667,115.81715871683333,04:46:34
-31.977443387833333,115.81715877833334,04:46:35
-31.977443409166668,115.817159016,04:46:36
-31.977443262333335,115.8171593165,04:46:37
-31.9774430465,115.81715969283333,04:46:38
-31.9774427505,115.81716027266667,04:46:39
-31.977442467666666,115.81716083316667,04:46:40
-31.977442140166666,115.81716146733334,04:46:41
-31.9774418705,115.81716206216667,04:46:42
-31.977441532333334,115.81716279133333,04:46:43
-31.977441178333333,115.81716357066666,04:46:44
-31.977440834833335,115.81716430466666,04:46:45
-31.977440524166667,115.81716506316667,04:46:46
-31.97744021666667,115.81716570083333,04:46:47
-31.977440019333333,115.8171664495,04:46:48
-31.977439764333333,115.81716700833333,04:46:49
-31.9774396135,115.81716762166667,04:46:50
-31.977439377,115.8171682995,04:46:51
-31.977439234666665,115.81716889983333,04:46:52
-31.977438961,115.81716941666667,04:46:53
-31.977438745666667,115.81716982633333,04:46:54
-31.9774386005,115.817170338,04:46:55
-31.9774384615,115.817170896,04:46:56
-31.9774381775,115.817171354,04:46:57
-31.977438085,115.81717185816666,04:46:58
-31.977438004333333,115.81717223516667,04:46:59
-31.977437804333334,115.81717269666666,04:47:00
-31.9774376965,115.81717281233334,04:47:01
-31.977437618833335,115.81717321266666,04:47:02
-31.977437684833333,115.817173448,04:47:03
-31.977437761833333,115.81717386766667,04:47:04
-31.977437951666666,115.81717401383334,04:47:05
-31.977437915,115.81717416933333,04:47:06
-31.977438122333332,115.81717424716666,04:47:07
-31.9774381355,115.81717441283334,04:47:08
-31.977438037833334,115.81717445316667,04:47:09
-31.977437892666668,115.81717458533333,04:47:10
-31.977437913666666,115.81717469166666,04:47:11
-31.977438064,115.81717471733333,04:47:12
-31.977437986833333,115.81717470833334,04:47:13
-31.977437978166666,115.8171748755,04:47:14
-31.977437639333335,115.81717473266667,04:47:15
-31.977437056833335,115.817173977,04:47:16
-31.977436296833332,115.81717296233333,04:47:17
-31.977434916500002,115.817171229,04:47:18
-31.977433676666667,115.81716961433334,04:47:19
-31.977432165166668,115.81716781533333,04:47:20
-31.977430744333333,115.81716600833333,04:47:21
-31.977429273666665,115.81716414783334,04:47:22
-31.977427767000002,115.8171619535,04:47:23
-31.977426535333333,115.8171601795,04:47:24
-31.977425516,115.81715896966666,04:47:25
-31.977424264833335,115.817157369,04:47:26
-31.977423325666667,115.81715623033334,04:47:27
-31.977422621333332,115.81715523916667,04:47:28
-31.977422051333335,115.81715471716667,04:47:29
-31.9774215635,115.81715434366667,04:47:30
-31.977421141,115.81715404283334,04:47:31
-31.977420812833333,115.81715378233334,04:47:32
-31.977420443666666,115.81715354983334,04:47:33
-31.9774201115,115.8171534745,04:47:34
-31.977419800333333,115.81715332416667,04:47:35
-31.977419616333332,115.81715326066667,04:47:36
-31.977419379166665,115.81715298433333,04:47:37
-31.977419188833334,115.81715286816667,04:47:38
-31.977419051166667,115.8171528155,04:47:39
-31.977419002666668,115.81715277433334,04:47:40
-31.9774190115,115.81715339466666,04:47:41
-31.977418932666666,115.8171538785,04:47:42
-31.977418908166666,115.81715444766667,04:47:43
-31.977418922,115.81715472666667,04:47:44
-31.977418937,115.8171551095,04:47:45
-31.977419111166668,115.817155487,04:47:46
-31.977419345666668,115.81715603233333,04:47:47
-31.977419536833334,115.81715672683333,04:47:48
-31.977419858,115.81715759433334,04:47:49
-31.9774201895,115.81715844766667,04:47:50
-31.977433195333333,115.81717984166667,04:47:51
-31.9774473705,115.81720355766667,04:47:52
-31.977451053333333,115.81720972466667,04:47:53
-31.977453983166665,115.81721482866666,04:47:54
-31.977454849333334,115.8172167015,04:47:55
-31.97745584666667,115.817218143,04:47:56
-31.9774574145,115.81722051083334,04:47:57
-31.97745844516667,115.81722237016666,04:47:58
-31.977458846666668,115.81722275933333,04:47:59
-31.977458819,115.8172236295,04:48:00
-31.977458957166668,115.817223952,04:48:01
-31.977458906666666,115.81722430116666,04:48:02
-31.977454225166667,115.81723093166667,04:48:02.700000
-31.977454225166667,115.81723093166667,04:48:02.700000
-31.977454225166667,115.81723093166667,04:48:02.700000
-31.977454225166667,115.81723093166667,04:48:02.700000
-31.977454225166667,115.81723093166667,04:48:02.700000
-31.977438415166667,115.8172729035,04:48:08
-31.977432834666665,115.81729141983334,04:48:09
-31.977431283166666,115.81729800066667,04:48:10
-31.977431103833332,115.8172989125,04:48:11
-31.977432099166666,115.81729583783333,04:48:12
-31.977433496166668,115.8172915885,04:48:13
-31.977434132,115.817289003,04:48:14
-31.977435230833333,115.81728484066667,04:48:15
-31.977438068666668,115.81727601483334,04:48:16
-31.9774389975,115.8172719375,04:48:17
-31.977439154166667,115.8172694515,04:48:18
-31.9774394265,115.81726737833333,04:48:19
-31.977440768833333,115.817262574,04:48:20
-31.97744187116667,115.8172576805,04:48:21
-31.977442316666668,115.8172548465,04:48:22
-31.977442657333334,115.81725250816666,04:48:23
-31.977442646166665,115.81725077866666,04:48:24
-31.977441133333333,115.81724587233333,04:48:25
-31.9774401875,115.817239415,04:48:26
-31.977439434,115.817232374,04:48:27
-31.977437451333333,115.81722531966666,04:48:28
-31.9774347305,115.81721570583333,04:48:29
-31.977433356333332,115.817208554,04:48:30
-31.9774325455,115.81720345066667,04:48:31
-31.977432099,115.81720122666667,04:48:32
-31.977432459833334,115.817199788,04:48:33
-31.977432490333335,115.81719774716667,04:48:34
-31.977431947833335,115.81719440866667,04:48:35
-31.977431741666667,115.81719228066666,04:48:36
-31.97743203716667,115.81719192566666,04:48:37
-31.977432387666667,115.81719161816666,04:48:38
-31.977432181833333,115.81719000166666,04:48:39
-31.977431562166668,115.81718805833333,04:48:40
-31.977431690333333,115.81718730266667,04:48:41
-31.9774318065,115.81718702033334,04:48:42
-31.977431809166667,115.81718633483334,04:48:43
-31.977431903166668,115.81718573033334,04:48:44
-31.977431696666667,115.81718461083334,04:48:45
-31.9774314375,115.81718361083334,04:48:46
-31.9774312285,115.8171827795,04:48:47
-31.9774311085,115.817182062,04:48:48
-31.9774308455,115.81718157133334,04:48:49
-31.977430815333335,115.81718121066666,04:48:50
-31.977430731166667,115.8171811035,04:48:51
-31.977430707666667,115.81718064216666,04:48:52
-31.977430547833332,115.81718002383333,04:48:53
-31.977430342666665,115.81717979416666,04:48:54
-31.977430100833335,115.81717982216666,04:48:55
-31.977429980333334,115.81717963633334,04:48:56
-31.977429886,115.81717937866667,04:48:57
-31.977429703166667,115.8171790905,04:48:58
-31.977429432833333,115.81717846416667,04:48:59
-31.977429001,115.81717735116666,04:49:00
-31.977428554,115.81717708166667,04:49:01
-31.977428271666668,115.81717714133333,04:49:02
-31.9774282285,115.817177077,04:49:03
-31.977428046,115.81717726533333,04:49:04
-31.9774280715,115.81717750033333,04:49:05
-31.977428272666668,115.81717796,04:49:06
-31.9774284255,115.81717837466667,04:49:07
-31.9774285045,115.81717877683333,04:49:08
-31.977428372833334,115.81717886616667,04:49:09
-31.9774279585,115.81717838633334,04:49:10
-31.977427463833333,115.8171776175,04:49:11
-31.977426812333334,115.817176874,04:49:12
-31.977426349666665,115.81717616033333,04:49:13
-31.977425716166668,115.81717572333334,04:49:14
-31.977425148666665,115.81717506833333,04:49:15
-31.977424640333332,115.81717389583333,04:49:16
-31.977424154,115.817173648,04:49:17
-31.977423633666668,115.81717227883334,04:49:18
-31.977423131666665,115.8171713505,04:49:19
-31.977422814333334,115.81717086433333,04:49:20
-31.977422836833334,115.8171709945,04:49:21
-31.977422935333333,115.8171705755,04:49:22
-31.977423034,115.817170053,04:49:23
-31.9774232335,115.8171697825,04:49:24
-31.9774233795,115.8171696435,04:49:25
-31.9774235255,115.81716950316667,04:49:26
-31.977423684166666,115.81716971066666,04:49:27
-31.9774236975,115.81717159283333,04:49:28
-31.9774239195,115.8171723705,04:49:29
-31.9774241055,115.81717281733333,04:49:30
-31.977424349833335,115.81717316683333,04:49:31
-31.977424552833334,115.81717359383333,04:49:32
-31.9774247415,115.81717382433334,04:49:33
-31.977424893333332,115.817174819,04:49:34
-31.977425084666667,115.81717548566667,04:49:35
-31.977425315666668,115.8171759115,04:49:36
-31.9774255145,115.81717615033334,04:49:37
-31.977425739166666,115.81717666033333,04:49:38
-31.9774259915,115.81717714683333,04:49:39
-31.977426119166665,115.81717759833333,04:49:40
-31.9774263175,115.817178232,04:49:41
-31.977426551,115.81717877783333,04:49:42
-31.977426711833335,115.8171790705,04:49:43
-31.977427003333332,115.81717943966666,04:49:44
-31.977427161,115.81718008866666,04:49:45
-31.977427377666668,115.81718038983334,04:49:46
